ZERO SHOT:

'giraffe': 0.3358208955223881,
'parrot': 0.12,
'dolphin': 0.9285714285714286,
'hamburger': 0.7914438502673797,
'lightning': 0.05847953216374269,
'peanut': 0.0,
'watermelon': 0.0051813471502590676,
'helicopter': 0.0896551724137931,
'boomerang': 0.043478260869565216,
'scissors': 0.36097560975609755,
'octopus': 0.48947368421052634,
'onion': 0.0,
'bracelet': 0.46075085324232085,
'blueberry': 0.391812865497076,
'cake': 0.7685185185185185,
'rainbow': 0.01639344262295082,
'donut': 0.007194244604316547,
'marker': 0.7192982456140351,
'bread': 0.03553299492385787,
'windmill': 0.02040816326530612,
'megaphone': 0.0,
'ladder': 0.2972972972972973,
'rollerskates': 0.004901960784313725,
'sweater': 0.08558558558558559,
'motorbike': 0.7619047619047619,
'airplane': 0.0684931506849315,
'asparagus': 0.22448979591836735,
'cloud': 0.005813953488372093,
'suitcase': 0.636604774535809,
'sailboat': 0.3395061728395062,
'snowman': 0.21264367816091953,
'bandage': 0.0,
'beard': 0.7115384615384616,
'moon': 0.015873015873015872,
'hurricane': 0.0,
'peas': 0.15555555555555556,
'skateboard': 0.18250950570342206,
'axe': 0.3333333333333333,
'elbow': 0.16080402010050251,
'campfire': 0.22131147540983606,
'grapes': 0.40860215053763443,
'skyscraper': 0.24102564102564103,
'tornado': 0.04142011834319527,
'tooth': 0.04950495049504951,
'finger': 0.0718954248366013,

Overall:0.2416
