'giraffe': 0.43283582089552236,
'parrot': 0.32,
'dolphin': 0.9523809523809523,
'hamburger': 0.7005347593582888,
'lightning': 0.05847953216374269,
'peanut': 0.0,
'watermelon': 0.015544041450777202,
'helicopter': 0.041379310344827586,
'boomerang': 0.021739130434782608,
'scissors': 0.4926829268292683,
'octopus': 0.5473684210526316,
'onion': 0.0,
'bracelet': 0.5426621160409556,
'blueberry': 0.22807017543859648,
'cake': 0.8055555555555556,
'rainbow': 0.03278688524590164,
'donut': 0.03597122302158273,
'marker': 0.6842105263157895,
'bread': 0.07106598984771574,
'windmill': 0.02857142857142857,
'megaphone': 0.0547945205479452,
'ladder': 0.4594594594594595,
'rollerskates': 0.014705882352941176,
'sweater': 0.18468468468468469,
'motorbike': 0.7142857142857143,
'airplane': 0.0410958904109589,
'asparagus': 0.10204081632653061,
'cloud': 0.005813953488372093,
'suitcase': 0.5994694960212201,
'sailboat': 0.2222222222222222,
'snowman': 0.10919540229885058,
'bandage': 0.02127659574468085,
'beard': 0.8653846153846154,
'moon': 0.0,
'hurricane': 0.0,
'peas': 0.1,
'skateboard': 0.1634980988593156,
'axe': 0.3541666666666667,
'elbow': 0.41708542713567837,
'campfire': 0.21311475409836064,
'grapes': 0.40860215053763443,
'skyscraper': 0.3641025641025641,
'tornado': 0.01775147928994083,
'tooth': 0.07920792079207921,
'finger': 0.21568627450980393,

Overall:0.2609
