'aircraft_carrier': 0.5925925925925926,
'alarm_clock': 0.7311827956989247,
'ambulance': 0.7625,
'ant': 0.37037037037037035,
'apple': 0.5454545454545454,
'arm': 0.02,
'backpack': 0.24242424242424243,
'banana': 0.54,
'barn': 0.7452229299363057,
'baseball': 0.7241379310344828,
'basket': 0.8846153846153846,
'basketball': 0.6885245901639344,
'bat': 0.7428571428571429,
'bathtub': 0.74,
'beach': 0.4666666666666667,
'bear': 0.22580645161290322,
'bed': 0.47715736040609136,
'bee': 0.7772277227722773,
'belt': 0.5401459854014599,
'bench': 0.4225352112676056,
'bicycle': 0.9436619718309859,
'binoculars': 0.47560975609756095,
'bird': 0.47023809523809523,
'book': 0.40718562874251496,
'bottlecap': 0.7457627118644068,
'bowtie': 0.773972602739726,
'brain': 0.5526315789473685,
'bridge': 0.36363636363636365,
'broccoli': 0.5714285714285714,
'broom': 0.5146198830409356,
'bucket': 0.5704225352112676,
'bus': 0.43564356435643564,
'butterfly': 0.7375,
'camel': 0.8636363636363636,
'camera': 0.6724137931034483,
'candle': 0.6423841059602649,
'cannon': 0.4854368932038835,
'canoe': 0.47058823529411764,
'car': 0.6262626262626263,
'castle': 0.46808510638297873,
'cat': 0.5813953488372093,
'cello': 0.2903225806451613,
'cell_phone': 0.21052631578947367,
'chair': 0.6595744680851063,
'church': 0.8148148148148148,
'clock': 0.4782608695652174,
'compass': 0.6335078534031413,
'computer': 0.42160278745644597,
'couch': 0.004310344827586207,
'cow': 0.4787234042553192,
'crab': 0.5648148148148148,
'crocodile': 0.4573170731707317,
'cup': 0.3828125,
'diamond': 0.5942028985507246,
'dishwasher': 0.42201834862385323,
'dog': 0.37142857142857144,
'door': 0.8271604938271605,
'dragon': 0.5523809523809524,
'drill': 0.6029411764705882,
'drums': 0.7061855670103093,
'duck': 0.7535211267605634,
'dumbbell': 0.7080103359173127,
'ear': 0.5544554455445545,
'elephant': 0.4260869565217391,
'envelope': 0.5170068027210885,
'eraser': 0.5869565217391305,
'eye': 0.5833333333333334,
'face': 0.3888888888888889,
'fan': 0.6351351351351351,
'feather': 0.7798507462686567,
'fence': 0.7515151515151515,
'fish': 0.5307692307692308,
'flamingo': 0.9051094890510949,
'flower': 0.7470355731225297,
'foot': 0.4470588235294118,
'fork': 0.465,
'frog': 0.8773006134969326,
'frying_pan': 0.6310160427807486,
'garden': 0.12698412698412698,
'grass': 0.6081081081081081,
'guitar': 0.8349514563106796,
'hammer': 0.5374149659863946,
'hand': 0.5360824742268041,
'harp': 0.7829457364341085,
'hat': 0.6,
'hedgehog': 0.6231884057971014,
'helmet': 0.6687116564417178,
'hockey_puck': 0.6382978723404256,
'horse': 0.7213930348258707,
'hot_dog': 0.4473684210526316,
'hot_tub': 0.3958333333333333,
'hourglass': 0.85,
'house': 0.7222222222222222,
'ice_cream': 0.7125,
'jacket': 0.5694444444444444,
'kangaroo': 0.6792452830188679,
'key': 0.6440677966101694,
'keyboard': 0.34375,
'knee': 0.0,
'knife': 0.5625,
'lantern': 0.4022346368715084,
'laptop': 0.7692307692307693,
'leaf': 0.75,
'leg': 0.14606741573033707,
'lighter': 0.4696969696969697,
'lighthouse': 0.8130081300813008,
'line': 0.0,
'lion': 0.5,
'lipstick': 0.7029702970297029,
'lobster': 0.6090534979423868,
'lollipop': 0.7702702702702703,
'mailbox': 0.1111111111111111,
'microphone': 0.6433566433566433,
'microwave': 0.3125,
'monkey': 0.3821138211382114,
'mosquito': 0.48214285714285715,
'mountain': 0.373134328358209,
