'giraffe': 0.03731343283582089,
'parrot': 0.05333333333333334,
'dolphin': 0.20238095238095238,
'hamburger': 0.0748663101604278,
'lightning': 0.06432748538011696,
'peanut': 0.05952380952380952,
'watermelon': 0.0,
'helicopter': 0.006896551724137931,
'boomerang': 0.010869565217391304,
'scissors': 0.04390243902439024,
'octopus': 0.11578947368421053,
'onion': 0.0,
'bracelet': 0.04436860068259386,
'blueberry': 0.07602339181286549,
'cake': 0.037037037037037035,
'rainbow': 0.0,
'donut': 0.007194244604316547,
'marker': 0.21052631578947367,
'bread': 0.015228426395939087,
'windmill': 0.024489795918367346,
'megaphone': 0.0,
'ladder': 0.06756756756756757,
'rollerskates': 0.0,
'sweater': 0.013513513513513514,
'motorbike': 0.19047619047619047,
'airplane': 0.0136986301369863,
'asparagus': 0.02040816326530612,
'cloud': 0.011627906976744186,
'suitcase': 0.10079575596816977,
'sailboat': 0.024691358024691357,
'snowman': 0.028735632183908046,
'bandage': 0.0,
'beard': 0.20512820512820512,
'moon': 0.007936507936507936,
'hurricane': 0.0,
'peas': 0.05555555555555555,
'skateboard': 0.011406844106463879,
'axe': 0.22916666666666666,
'elbow': 0.05025125628140704,
'campfire': 0.08196721311475409,
'grapes': 0.10752688172043011,
'skyscraper': 0.03076923076923077,
'tornado': 0.11834319526627218,
'tooth': 0.019801980198019802,
'finger': 0.013071895424836602,

Overall:0.0553
