ZERO SHOT:

'giraffe': 0.13372093023255813,
'parrot': 0.016129032258064516,
'dolphin': 0.6060606060606061,
'hamburger': 0.35714285714285715,
'lightning': 0.10294117647058823,
'peanut': 0.0,
'watermelon': 0.007481296758104738,
'helicopter': 0.12962962962962962,
'boomerang': 0.022222222222222223,
'scissors': 0.038834951456310676,
'octopus': 0.02040816326530612,
'onion': 0.016129032258064516,
'bracelet': 0.04065040650406504,
'blueberry': 0.17272727272727273,
'cake': 0.21428571428571427,
'rainbow': 0.045454545454545456,
'donut': 0.2,
'marker': 0.22727272727272727,
'bread': 0.0,
'windmill': 0.21505376344086022,
'megaphone': 0.04395604395604396,
'ladder': 0.22916666666666666,
'rollerskates': 0.0,
'sweater': 0.043478260869565216,
'motorbike': 0.3923444976076555,
'airplane': 0.14516129032258066,
'asparagus': 0.20149253731343283,
'cloud': 0.014084507042253521,
'suitcase': 0.2767857142857143,
'sailboat': 0.18487394957983194,
'snowman': 0.14634146341463414,
'bandage': 0.0,
'beard': 0.41935483870967744,
'moon': 0.1076923076923077,
'hurricane': 0.0,
'peas': 0.08333333333333333,
'skateboard': 0.04,
'axe': 0.40217391304347827,
'elbow': 0.013513513513513514,
'campfire': 0.2641509433962264,
'grapes': 0.15204678362573099,
'skyscraper': 0.22641509433962265,
'tornado': 0.05167173252279635,
'tooth': 0.02959830866807611,
'finger': 0.08450704225352113,

Overall:0.1360
