'giraffe': 0.11046511627906977,
'parrot': 0.0967741935483871,
'dolphin': 0.6787878787878788,
'hamburger': 0.4380952380952381,
'lightning': 0.029411764705882353,
'peanut': 0.016666666666666666,
'watermelon': 0.02493765586034913,
'helicopter': 0.16666666666666666,
'boomerang': 0.044444444444444446,
'scissors': 0.038834951456310676,
'octopus': 0.04081632653061224,
'onion': 0.06451612903225806,
'bracelet': 0.06504065040650407,
'blueberry': 0.15454545454545454,
'cake': 0.37857142857142856,
'rainbow': 0.045454545454545456,
'donut': 0.13846153846153847,
'marker': 0.5681818181818182,
'bread': 0.0,
'windmill': 0.13709677419354838,
'megaphone': 0.054945054945054944,
'ladder': 0.6458333333333334,
'rollerskates': 0.0,
'sweater': 0.15217391304347827,
'motorbike': 0.4354066985645933,
'airplane': 0.16129032258064516,
'asparagus': 0.2537313432835821,
'cloud': 0.007042253521126761,
'suitcase': 0.16517857142857142,
'sailboat': 0.15126050420168066,
'snowman': 0.04878048780487805,
'bandage': 0.006211180124223602,
'beard': 0.5698924731182796,
'moon': 0.05128205128205128,
'hurricane': 0.014705882352941176,
'peas': 0.08333333333333333,
'skateboard': 0.0,
'axe': 0.2608695652173913,
'elbow': 0.13513513513513514,
'campfire': 0.2830188679245283,
'grapes': 0.18128654970760233,
'skyscraper': 0.1949685534591195,
'tornado': 0.02735562310030395,
'tooth': 0.040169133192389,
'finger': 0.15492957746478872,

Overall:0.1626
