'aircraft_carrier': 0.42045454545454547,
'alarm_clock': 0.6521739130434783,
'ambulance': 0.75,
'ant': 0.27419354838709675,
'apple': 0.4,
'arm': 0.023255813953488372,
'backpack': 0.12316715542521994,
'banana': 0.3617021276595745,
'barn': 0.32,
'baseball': 0.056910569105691054,
'basket': 0.2009132420091324,
'basketball': 0.3287671232876712,
'bat': 0.2828282828282828,
'bathtub': 0.34074074074074073,
'beach': 0.18032786885245902,
'bear': 0.20987654320987653,
'bed': 0.14444444444444443,
'bee': 0.2145922746781116,
'belt': 0.031578947368421054,
'bench': 0.06382978723404255,
'bicycle': 0.5477941176470589,
'binoculars': 0.3090909090909091,
'bird': 0.22115384615384615,
'book': 0.09574468085106383,
'bottlecap': 0.6153846153846154,
'bowtie': 0.5157894736842106,
'brain': 0.45936395759717313,
'bridge': 0.4098360655737705,
'broccoli': 0.18777292576419213,
'broom': 0.08571428571428572,
'bucket': 0.08928571428571429,
'bus': 0.11475409836065574,
'butterfly': 0.4444444444444444,
'camel': 0.6129032258064516,
'camera': 0.19696969696969696,
'candle': 0.3088235294117647,
'cannon': 0.42857142857142855,
'canoe': 0.28169014084507044,
'car': 0.1151685393258427,
'castle': 0.15447154471544716,
'cat': 0.2558139534883721,
'cello': 0.20588235294117646,
'cell_phone': 0.047058823529411764,
'chair': 0.07432432432432433,
'church': 0.1,
'clock': 0.54,
'compass': 0.5277777777777778,
'computer': 0.07216494845360824,
'couch': 0.26229508196721313,
'cow': 0.3358208955223881,
'crab': 0.2,
'crocodile': 0.25,
'cup': 0.057692307692307696,
'diamond': 0.1926605504587156,
'dishwasher': 0.1702127659574468,
'dog': 0.18222222222222223,
'door': 0.12244897959183673,
'dragon': 0.3,
'drill': 0.22727272727272727,
'drums': 0.1111111111111111,
'duck': 0.2549019607843137,
'dumbbell': 0.13953488372093023,
'ear': 0.13793103448275862,
'elephant': 0.25,
'envelope': 0.2,
'eraser': 0.14705882352941177,
'eye': 0.17857142857142858,
'face': 0.2,
'fan': 0.14285714285714285,
'feather': 0.1527777777777778,
'fence': 0.10101010101010101,
'fish': 0.09743589743589744,
'flamingo': 0.6666666666666666,
'flower': 0.2642857142857143,
'foot': 0.2072072072072072,
'fork': 0.2222222222222222,
'frog': 0.22033898305084745,
'frying_pan': 0.39705882352941174,
'garden': 0.044673539518900345,
'grass': 0.1891025641025641,
'guitar': 0.3235294117647059,
'hammer': 0.22857142857142856,
'hand': 0.07835820895522388,
'harp': 0.40540540540540543,
'hat': 0.12437810945273632,
'hedgehog': 0.3958333333333333,
'helmet': 0.11026615969581749,
'hockey_puck': 0.2542372881355932,
'horse': 0.2175925925925926,
'hot_dog': 0.36231884057971014,
'hot_tub': 0.2558139534883721,
'hourglass': 0.67,
'house': 0.19934640522875818,
'ice_cream': 0.32620320855614976,
'jacket': 0.23170731707317074,
'kangaroo': 0.3333333333333333,
'key': 0.1323529411764706,
'keyboard': 0.24210526315789474,
'knee': 0.14285714285714285,
'knife': 0.16666666666666666,
'lantern': 0.25862068965517243,
'laptop': 0.15254237288135594,
'leaf': 0.3229166666666667,
'leg': 0.28735632183908044,
'lighter': 0.2222222222222222,
'lighthouse': 0.45454545454545453,
'line': 0.009523809523809525,
'lion': 0.296875,
'lipstick': 0.5384615384615384,
'lobster': 0.44680851063829785,
'lollipop': 0.21428571428571427,
'mailbox': 0.08888888888888889,
'microphone': 0.42857142857142855,
'microwave': 0.043859649122807015,
'monkey': 0.21176470588235294,
'mosquito': 0.09913793103448276,
'mountain': 0.43859649122807015,
'mouse': 0.06,
'mouth': 0.1262135922330097,
'mug': 0.24390243902439024,
'mushroom': 0.28523489932885904,
'nail': 0.359375,
'necklace': 0.391304347826087,
'nose': 0.07079646017699115,
'ocean': 0.0851063829787234,
'oven': 0.0,
'owl': 0.34210526315789475,
'paintbrush': 0.25,
'panda': 0.29069767441860467,
'parachute': 0.43333333333333335,
'pear': 0.33043478260869563,
'pencil': 0.16260162601626016,
'penguin': 0.4129353233830846,
'piano': 0.13636363636363635,
'pickup_truck': 0.45689655172413796,
'pig': 0.3103448275862069,
'pillow': 0.08823529411764706,
'pineapple': 0.5035971223021583,
'pizza': 0.5095541401273885,
'pool': 0.06936416184971098,
'popsicle': 0.2911392405063291,
'potato': 0.3442622950819672,
'purse': 0.12605042016806722,
'rabbit': 0.2740740740740741,
'radio': 0.0594059405940594,
'rain': 0.02564102564102564,
'rake': 0.09090909090909091,
'remote_control': 0.2571428571428571,
'rhinoceros': 0.3626373626373626,
'rifle': 0.48322147651006714,
