'giraffe': 0.029069767441860465,
'parrot': 0.0,
'dolphin': 0.13333333333333333,
'hamburger': 0.08571428571428572,
'lightning': 0.10294117647058823,
'peanut': 0.016666666666666666,
'watermelon': 0.0,
'helicopter': 0.013888888888888888,
'boomerang': 0.022222222222222223,
'scissors': 0.019417475728155338,
'octopus': 0.02040816326530612,
'onion': 0.0,
'bracelet': 0.024390243902439025,
'blueberry': 0.05454545454545454,
'cake': 0.02142857142857143,
'rainbow': 0.0,
'donut': 0.12307692307692308,
'marker': 0.1590909090909091,
'bread': 0.004310344827586207,
'windmill': 0.11559139784946236,
'megaphone': 0.0,
'ladder': 0.09375,
'rollerskates': 0.0,
'sweater': 0.0,
'motorbike': 0.019138755980861243,
'airplane': 0.06451612903225806,
'asparagus': 0.05223880597014925,
'cloud': 0.014084507042253521,
'suitcase': 0.08035714285714286,
'sailboat': 0.01680672268907563,
'snowman': 0.06504065040650407,
'bandage': 0.009316770186335404,
'beard': 0.15053763440860216,
'moon': 0.010256410256410256,
'hurricane': 0.0,
'peas': 0.016666666666666666,
'skateboard': 0.0,
'axe': 0.13043478260869565,
'elbow': 0.0,
'campfire': 0.16981132075471697,
'grapes': 0.04093567251461988,
'skyscraper': 0.012578616352201259,
'tornado': 0.03343465045592705,
'tooth': 0.03171247357293869,
'finger': 0.028169014084507043,

Overall:0.0441
