ZERO SHOT:

'giraffe': 0.3333333333333333,
'parrot': 0.21726190476190477,
'dolphin': 0.8204488778054863,
'hamburger': 0.8299319727891157,
'lightning': 0.08040201005025126,
'peanut': 0.0,
'watermelon': 0.00975609756097561,
'helicopter': 0.1828793774319066,
'boomerang': 0.0,
'scissors': 0.24615384615384617,
'octopus': 0.2537764350453172,
'onion': 0.03397027600849257,
'bracelet': 0.2,
'blueberry': 0.2275449101796407,
'cake': 0.47093023255813954,
'rainbow': 0.011904761904761904,
'donut': 0.040214477211796246,
'marker': 0.08737864077669903,
'bread': 0.02857142857142857,
'windmill': 0.16120906801007556,
'megaphone': 0.15625,
'ladder': 0.39952153110047844,
'rollerskates': 0.015527950310559006,
'sweater': 0.0392156862745098,
'motorbike': 0.5754716981132075,
'airplane': 0.23113207547169812,
'asparagus': 0.1715686274509804,
'cloud': 0.0035971223021582736,
'suitcase': 0.5935828877005348,
'sailboat': 0.531055900621118,
'snowman': 0.06326304106548279,
'bandage': 0.04060913705583756,
'beard': 0.8150134048257373,
'moon': 0.0,
'hurricane': 0.0,
'peas': 0.08888888888888889,
'skateboard': 0.18421052631578946,
'axe': 0.1643835616438356,
'elbow': 0.07216494845360824,
'campfire': 0.5253456221198156,
'grapes': 0.19811320754716982,
'skyscraper': 0.4692737430167598,
'tornado': 0.3914209115281501,
'tooth': 0.07339449541284404,
'finger': 0.07017543859649122,

Overall:0.2246
