'giraffe': 0.4380952380952381,
'parrot': 0.5178571428571429,
'dolphin': 0.9102244389027432,
'hamburger': 0.7278911564625851,
'lightning': 0.12562814070351758,
'peanut': 0.012195121951219513,
'watermelon': 0.02195121951219512,
'helicopter': 0.26459143968871596,
'boomerang': 0.0,
'scissors': 0.15384615384615385,
'octopus': 0.1268882175226586,
'onion': 0.03397027600849257,
'bracelet': 0.25333333333333335,
'blueberry': 0.16167664670658682,
'cake': 0.5813953488372093,
'rainbow': 0.16666666666666666,
'donut': 0.07238605898123325,
'marker': 0.1650485436893204,
'bread': 0.0761904761904762,
'windmill': 0.2695214105793451,
'megaphone': 0.225,
'ladder': 0.5191387559808612,
'rollerskates': 0.040372670807453416,
'sweater': 0.05228758169934641,
'motorbike': 0.6509433962264151,
'airplane': 0.13679245283018868,
'asparagus': 0.33088235294117646,
'cloud': 0.039568345323741004,
'suitcase': 0.43315508021390375,
'sailboat': 0.2391304347826087,
'snowman': 0.12097669256381798,
'bandage': 0.04060913705583756,
'beard': 0.8927613941018767,
'moon': 0.021604938271604937,
'hurricane': 0.007518796992481203,
'peas': 0.12222222222222222,
'skateboard': 0.07894736842105263,
'axe': 0.2237442922374429,
'elbow': 0.09278350515463918,
'campfire': 0.5898617511520737,
'grapes': 0.25471698113207547,
'skyscraper': 0.329608938547486,
'tornado': 0.3351206434316354,
'tooth': 0.23853211009174313,
'finger': 0.12280701754385964,

Overall:0.2493
