'aircraft_carrier': 0.6466165413533834,
'alarm_clock': 0.4880952380952381,
'ambulance': 0.20270270270270271,
'ant': 0.33617021276595743,
'apple': 0.449438202247191,
'arm': 0.04739336492890995,
'backpack': 0.39622641509433965,
'banana': 0.5543175487465181,
'barn': 0.7370892018779343,
'baseball': 0.48360655737704916,
'basket': 0.17985611510791366,
'basketball': 0.35144927536231885,
'bat': 0.3137254901960784,
'bathtub': 0.4888888888888889,
'beach': 0.5591182364729459,
'bear': 0.5277044854881267,
'bed': 0.30434782608695654,
'bee': 0.6485623003194888,
'belt': 0.35294117647058826,
'bench': 0.2934131736526946,
'bicycle': 0.7551020408163265,
'binoculars': 0.18243243243243243,
'bird': 0.6711711711711712,
'book': 0.18461538461538463,
'bottlecap': 0.3996282527881041,
'bowtie': 0.5171232876712328,
'brain': 0.6866952789699571,
'bridge': 0.4182590233545648,
'broccoli': 0.73,
'broom': 0.25,
'bucket': 0.2786885245901639,
'bus': 0.32142857142857145,
'butterfly': 0.7622739018087855,
'camel': 0.5363321799307958,
'camera': 0.5,
'candle': 0.5747126436781609,
'cannon': 0.5,
'canoe': 0.47848101265822784,
'car': 0.4666666666666667,
'castle': 0.7777777777777778,
'cat': 0.7965116279069767,
'cello': 0.2974683544303797,
'cell_phone': 0.07352941176470588,
'chair': 0.22641509433962265,
'church': 0.6056338028169014,
'clock': 0.13157894736842105,
'compass': 0.5769230769230769,
'computer': 0.3157894736842105,
'couch': 0.19230769230769232,
'cow': 0.5705128205128205,
'crab': 0.7908496732026143,
'crocodile': 0.5833333333333334,
'cup': 0.18900343642611683,
'diamond': 0.6470588235294118,
'dishwasher': 0.5233644859813084,
'dog': 0.7378640776699029,
'door': 0.6685878962536023,
'dragon': 0.5324675324675324,
'drill': 0.2857142857142857,
'drums': 0.6048780487804878,
'duck': 0.6062052505966588,
'dumbbell': 0.7777777777777778,
'ear': 0.41711229946524064,
'elephant': 0.7458823529411764,
'envelope': 0.15807560137457044,
'eraser': 0.47058823529411764,
'eye': 0.6815068493150684,
'face': 0.6,
'fan': 0.0,
'feather': 0.7790697674418605,
'fence': 0.3877551020408163,
'fish': 0.44755244755244755,
'flamingo': 0.8928571428571429,
'flower': 0.6453608247422681,
'foot': 0.2441860465116279,
'fork': 0.20238095238095238,
'frog': 0.8802395209580839,
'frying_pan': 0.6982248520710059,
'garden': 0.7417840375586855,
'grass': 0.4126506024096386,
'guitar': 0.5566502463054187,
'hammer': 0.2826086956521739,
'hand': 0.16030534351145037,
'harp': 0.53125,
'hat': 0.1975,
'hedgehog': 0.8387096774193549,
'helmet': 0.37037037037037035,
'hockey_puck': 0.4830508474576271,
'horse': 0.6967370441458733,
'hot_dog': 0.7364864864864865,
'hot_tub': 0.467005076142132,
'hourglass': 0.8592233009708737,
'house': 0.7619047619047619,
'ice_cream': 0.6495176848874598,
'jacket': 0.3492647058823529,
'kangaroo': 0.6401869158878505,
'key': 0.23711340206185566,
'keyboard': 0.43783783783783786,
'knee': 0.046153846153846156,
'knife': 0.1,
'lantern': 0.21559633027522937,
'laptop': 0.5403726708074534,
'leaf': 0.35714285714285715,
'leg': 0.2640449438202247,
'lighter': 0.5925925925925926,
'lighthouse': 0.7834549878345499,
'line': 0.0,
'lion': 0.6752475247524753,
'lipstick': 0.6224489795918368,
'lobster': 0.7283464566929134,
'lollipop': 0.5555555555555556,
'mailbox': 0.37623762376237624,
'microphone': 0.5197368421052632,
'microwave': 0.2,
'monkey': 0.35555555555555557,
'mosquito': 0.47692307692307695,
'mountain': 0.6833855799373041,
'mouse': 0.1146067415730337,
'mouth': 0.29411764705882354,
'mug': 0.362,
'mushroom': 0.7716535433070866,
'nail': 0.5668257756563246,
'necklace': 0.6570605187319885,
'nose': 0.16015625,
'ocean': 0.6378947368421053,
'oven': 0.09090909090909091,
'owl': 0.7600806451612904,
'paintbrush': 0.2821917808219178,
'panda': 0.946969696969697,
'parachute': 0.7857142857142857,
'pear': 0.6875,
'pencil': 0.01092896174863388,
'penguin': 0.7986577181208053,
'piano': 0.42567567567567566,
'pickup_truck': 0.7902097902097902,
'pig': 0.5613496932515337,
'pillow': 0.4375,
'pineapple': 0.918918918918919,
'pizza': 0.8110236220472441,
'pool': 0.37777777777777777,
'popsicle': 0.783625730994152,
'potato': 0.4482758620689655,
'purse': 0.24489795918367346,
'rabbit': 0.6988847583643123,
'radio': 0.2153846153846154,
'rain': 0.23579545454545456,
'rake': 0.10344827586206896,
'remote_control': 0.36936936936936937,
'rhinoceros': 0.7363636363636363,
'rifle': 0.6708333333333333,
'river': 0.44802867383512546,
'saw': 0.04666666666666667,
'saxophone': 0.5223463687150838,
'school_bus': 0.8939393939393939,
'scorpion': 0.6541353383458647,
'screwdriver': 0.410958904109589,
'shark': 0.7174721189591078,
'sheep': 0.6796407185628742,
'shoe': 0.47692307692307695,
'shovel': 0.2767857142857143,
'sleeping_bag': 0.17647058823529413,
'snail': 0.5420560747663551,
'snake': 0.4894117647058824,
'snorkel': 0.5810055865921788,
'soccer_ball': 0.746268656716418,
'sock': 0.0967741935483871,
'speedboat': 0.8439716312056738,
'spider': 0.577922077922078,
