'giraffe': 0.02857142857142857,
'parrot': 0.017857142857142856,
'dolphin': 0.14463840399002495,
'hamburger': 0.1360544217687075,
'lightning': 0.05527638190954774,
'peanut': 0.0,
'watermelon': 0.0,
'helicopter': 0.01556420233463035,
'boomerang': 0.0,
'scissors': 0.03076923076923077,
'octopus': 0.08459214501510574,
'onion': 0.006369426751592357,
'bracelet': 0.06,
'blueberry': 0.017964071856287425,
'cake': 0.05232558139534884,
'rainbow': 0.011904761904761904,
'donut': 0.005361930294906166,
'marker': 0.05825242718446602,
'bread': 0.0031746031746031746,
'windmill': 0.015113350125944584,
'megaphone': 0.0125,
'ladder': 0.08373205741626795,
'rollerskates': 0.006211180124223602,
'sweater': 0.006535947712418301,
'motorbike': 0.11320754716981132,
'airplane': 0.009433962264150943,
'asparagus': 0.03431372549019608,
'cloud': 0.014388489208633094,
'suitcase': 0.12834224598930483,
'sailboat': 0.034161490683229816,
'snowman': 0.006659267480577136,
'bandage': 0.005076142131979695,
'beard': 0.1126005361930295,
'moon': 0.0,
'hurricane': 0.0,
'peas': 0.022222222222222223,
'skateboard': 0.05263157894736842,
'axe': 0.0593607305936073,
'elbow': 0.030927835051546393,
'campfire': 0.10138248847926268,
'grapes': 0.0440251572327044,
'skyscraper': 0.0335195530726257,
'tornado': 0.15281501340482573,
'tooth': 0.0,
'finger': 0.017543859649122806,

Overall:0.0406
