ZERO SHOT:

'giraffe': 0.24731182795698925,
'parrot': 0.24812030075187969,
'dolphin': 0.7529411764705882,
'hamburger': 0.3675675675675676,
'lightning': 0.010638297872340425,
'peanut': 0.038461538461538464,
'watermelon': 0.015625,
'helicopter': 0.045,
'boomerang': 0.016666666666666666,
'scissors': 0.18306636155606407,
'octopus': 0.18120805369127516,
'onion': 0.0,
'bracelet': 0.22333333333333333,
'blueberry': 0.2713178294573643,
'cake': 0.45454545454545453,
'rainbow': 0.021739130434782608,
'donut': 0.0,
'marker': 0.26666666666666666,
'bread': 0.018115942028985508,
'windmill': 0.02857142857142857,
'megaphone': 0.07407407407407407,
'ladder': 0.28688524590163933,
'rollerskates': 0.028368794326241134,
'sweater': 0.19760479041916168,
'motorbike': 0.8755980861244019,
'airplane': 0.16314199395770393,
'asparagus': 0.19138755980861244,
'cloud': 0.03,
'suitcase': 0.5080906148867314,
'sailboat': 0.3518005540166205,
'snowman': 0.10674157303370786,
'bandage': 0.017857142857142856,
'beard': 0.8087318087318087,
'moon': 0.07096774193548387,
'hurricane': 0.0,
'peas': 0.012345679012345678,
'skateboard': 0.1431980906921241,
'axe': 0.3515981735159817,
'elbow': 0.0064516129032258064,
'campfire': 0.06976744186046512,
'grapes': 0.08362369337979095,
'skyscraper': 0.17381974248927037,
'tornado': 0.2132701421800948,
'tooth': 0.011049723756906077,
'finger': 0.08480565371024736,

Overall:0.1834
