'giraffe': 0.22043010752688172,
'parrot': 0.3383458646616541,
'dolphin': 0.7411764705882353,
'hamburger': 0.4,
'lightning': 0.0,
'peanut': 0.06153846153846154,
'watermelon': 0.0234375,
'helicopter': 0.06,
'boomerang': 0.0,
'scissors': 0.2723112128146453,
'octopus': 0.06711409395973154,
'onion': 0.0,
'bracelet': 0.34,
'blueberry': 0.27906976744186046,
'cake': 0.4025974025974026,
'rainbow': 0.0,
'donut': 0.0,
'marker': 0.375,
'bread': 0.036231884057971016,
'windmill': 0.08979591836734693,
'megaphone': 0.12698412698412698,
'ladder': 0.24180327868852458,
'rollerskates': 0.02127659574468085,
'sweater': 0.40119760479041916,
'motorbike': 0.7751196172248804,
'airplane': 0.19637462235649547,
'asparagus': 0.44019138755980863,
'cloud': 0.07,
'suitcase': 0.540453074433657,
'sailboat': 0.3047091412742382,
'snowman': 0.05337078651685393,
'bandage': 0.08928571428571429,
'beard': 0.9313929313929314,
'moon': 0.13548387096774195,
'hurricane': 0.0,
'peas': 0.0,
'skateboard': 0.06682577565632458,
'axe': 0.4794520547945205,
'elbow': 0.45806451612903226,
'campfire': 0.12790697674418605,
'grapes': 0.16376306620209058,
'skyscraper': 0.2317596566523605,
'tornado': 0.16113744075829384,
'tooth': 0.0718232044198895,
'finger': 0.4204946996466431,

Overall:0.2270
