'aircraft_carrier': 0.6507936507936508,
'alarm_clock': 0.7673267326732673,
'ambulance': 0.2782608695652174,
'ant': 0.6306306306306306,
'apple': 0.7624309392265194,
'arm': 0.17670682730923695,
'backpack': 0.6590909090909091,
'banana': 0.8088235294117647,
'barn': 0.7761194029850746,
'baseball': 0.8958333333333334,
'basket': 0.8385416666666666,
'basketball': 0.475,
'bat': 0.7625,
'bathtub': 0.6238095238095238,
'beach': 0.06329113924050633,
'bear': 0.5617977528089888,
'bed': 0.7393617021276596,
'bee': 0.7222222222222222,
'belt': 0.336,
'bench': 0.44482758620689655,
'bicycle': 0.9650145772594753,
'binoculars': 0.5601503759398496,
'bird': 0.7026143790849673,
'book': 0.4041095890410959,
'bottlecap': 0.460431654676259,
'bowtie': 0.6574923547400612,
'brain': 0.8740740740740741,
'bridge': 0.7522388059701492,
'broccoli': 0.3259668508287293,
'broom': 0.48717948717948717,
'bucket': 0.37037037037037035,
'bus': 0.6051502145922747,
'butterfly': 0.7429718875502008,
'camel': 0.9,
'camera': 0.5688073394495413,
'candle': 0.6883116883116883,
'cannon': 0.4838709677419355,
'canoe': 0.4418604651162791,
'car': 0.4689655172413793,
'castle': 0.48214285714285715,
'cat': 0.4307692307692308,
'cello': 0.34375,
'cell_phone': 0.30434782608695654,
'chair': 0.5416666666666666,
'church': 0.7142857142857143,
'clock': 0.45454545454545453,
'compass': 0.42857142857142855,
'computer': 0.41935483870967744,
'couch': 0.3,
'cow': 0.058823529411764705,
'crab': 0.75,
'crocodile': 0.7018633540372671,
'cup': 0.21464646464646464,
'diamond': 0.7777777777777778,
'dishwasher': 0.575,
'dog': 0.5273311897106109,
'door': 0.407202216066482,
'dragon': 0.3010204081632653,
'drill': 0.6597222222222222,
'drums': 0.6915887850467289,
'duck': 0.39855072463768115,
'dumbbell': 0.6684210526315789,
'ear': 0.6683417085427136,
'elephant': 0.8721804511278195,
'envelope': 0.5846994535519126,
'eraser': 0.37254901960784315,
'eye': 0.7770961145194274,
'face': 0.1902654867256637,
'fan': 0.5,
'feather': 0.8571428571428571,
'fence': 0.5714285714285714,
'fish': 0.5737265415549598,
'flamingo': 0.8943661971830986,
'flower': 0.5416666666666666,
'foot': 0.6091954022988506,
'fork': 0.4602272727272727,
'frog': 0.4827586206896552,
'frying_pan': 0.2878787878787879,
