'giraffe': 0.03225806451612903,
'parrot': 0.05263157894736842,
'dolphin': 0.16470588235294117,
'hamburger': 0.07027027027027027,
'lightning': 0.010638297872340425,
'peanut': 0.06153846153846154,
'watermelon': 0.0078125,
'helicopter': 0.02,
'boomerang': 0.0,
'scissors': 0.05263157894736842,
'octopus': 0.09395973154362416,
'onion': 0.0,
'bracelet': 0.07,
'blueberry': 0.015503875968992248,
'cake': 0.12987012987012986,
'rainbow': 0.0,
'donut': 0.0,
'marker': 0.08333333333333333,
'bread': 0.014492753623188406,
'windmill': 0.00816326530612245,
'megaphone': 0.005291005291005291,
'ladder': 0.03278688524590164,
'rollerskates': 0.0070921985815602835,
'sweater': 0.005988023952095809,
'motorbike': 0.1722488038277512,
'airplane': 0.03323262839879154,
'asparagus': 0.03349282296650718,
'cloud': 0.09,
'suitcase': 0.19741100323624594,
'sailboat': 0.036011080332409975,
'snowman': 0.0056179775280898875,
'bandage': 0.017857142857142856,
'beard': 0.10395010395010396,
'moon': 0.012903225806451613,
'hurricane': 0.010101010101010102,
'peas': 0.0,
'skateboard': 0.028639618138424822,
'axe': 0.1141552511415525,
'elbow': 0.0064516129032258064,
'campfire': 0.08139534883720931,
'grapes': 0.0313588850174216,
'skyscraper': 0.012875536480686695,
'tornado': 0.17061611374407584,
'tooth': 0.0055248618784530384,
'finger': 0.014134275618374558,

Overall:0.0470
