'giraffe': 0.44776119402985076,
'parrot': 0.30666666666666664,
'dolphin': 0.9642857142857143,
'hamburger': 0.7272727272727273,
'lightning': 0.09941520467836257,
'peanut': 0.0,
'watermelon': 0.0051813471502590676,
'helicopter': 0.06896551724137931,
'boomerang': 0.021739130434782608,
'scissors': 0.424390243902439,
'octopus': 0.49473684210526314,
'onion': 0.0,
'bracelet': 0.5597269624573379,
'blueberry': 0.1695906432748538,
'cake': 0.7685185185185185,
'rainbow': 0.03278688524590164,
'donut': 0.02158273381294964,
'marker': 0.7017543859649122,
'bread': 0.06598984771573604,
'windmill': 0.02040816326530612,
'megaphone': 0.0273972602739726,
'ladder': 0.4189189189189189,
'rollerskates': 0.024509803921568627,
'sweater': 0.15765765765765766,
'motorbike': 0.7619047619047619,
'airplane': 0.0273972602739726,
'asparagus': 0.16326530612244897,
'cloud': 0.005813953488372093,
'suitcase': 0.5013262599469496,
'sailboat': 0.21604938271604937,
'snowman': 0.20689655172413793,
'bandage': 0.02127659574468085,
'beard': 0.8461538461538461,
'moon': 0.0,
'hurricane': 0.0,
'peas': 0.1111111111111111,
'skateboard': 0.17110266159695817,
'axe': 0.375,
'elbow': 0.32663316582914576,
'campfire': 0.1885245901639344,
'grapes': 0.46236559139784944,
'skyscraper': 0.3487179487179487,
'tornado': 0.05325443786982249,
'tooth': 0.0297029702970297,
'finger': 0.21568627450980393,

Overall:0.2569
