'giraffe': 0.1511627906976744,
'parrot': 0.11290322580645161,
'dolphin': 0.703030303030303,
'hamburger': 0.41904761904761906,
'lightning': 0.07352941176470588,
'peanut': 0.0,
'watermelon': 0.017456359102244388,
'helicopter': 0.16203703703703703,
'boomerang': 0.044444444444444446,
'scissors': 0.02912621359223301,
'octopus': 0.061224489795918366,
'onion': 0.016129032258064516,
'bracelet': 0.056910569105691054,
'blueberry': 0.13636363636363635,
'cake': 0.35,
'rainbow': 0.022727272727272728,
'donut': 0.13846153846153847,
'marker': 0.5681818181818182,
'bread': 0.004310344827586207,
'windmill': 0.09946236559139784,
'megaphone': 0.07692307692307693,
'ladder': 0.75,
'rollerskates': 0.0,
'sweater': 0.13043478260869565,
'motorbike': 0.45454545454545453,
'airplane': 0.14516129032258066,
'asparagus': 0.3656716417910448,
'cloud': 0.035211267605633804,
'suitcase': 0.13392857142857142,
'sailboat': 0.13445378151260504,
'snowman': 0.06504065040650407,
'bandage': 0.009316770186335404,
'beard': 0.4731182795698925,
'moon': 0.09230769230769231,
'hurricane': 0.014705882352941176,
'peas': 0.058333333333333334,
'skateboard': 0.0,
'axe': 0.29347826086956524,
'elbow': 0.0945945945945946,
'campfire': 0.2641509433962264,
'grapes': 0.1695906432748538,
'skyscraper': 0.16352201257861634,
'tornado': 0.05167173252279635,
'tooth': 0.035940803382663845,
'finger': 0.18309859154929578,

Overall:0.1636
