'giraffe': 0.45714285714285713,
'parrot': 0.4791666666666667,
'dolphin': 0.942643391521197,
'hamburger': 0.7074829931972789,
'lightning': 0.33668341708542715,
'peanut': 0.012195121951219513,
'watermelon': 0.02195121951219512,
'helicopter': 0.31906614785992216,
'boomerang': 0.04878048780487805,
'scissors': 0.1076923076923077,
'octopus': 0.1510574018126888,
'onion': 0.025477707006369428,
'bracelet': 0.2,
'blueberry': 0.08383233532934131,
'cake': 0.5930232558139535,
'rainbow': 0.17857142857142858,
'donut': 0.06166219839142091,
'marker': 0.13592233009708737,
'bread': 0.05714285714285714,
'windmill': 0.2947103274559194,
'megaphone': 0.175,
'ladder': 0.5454545454545454,
'rollerskates': 0.043478260869565216,
'sweater': 0.0392156862745098,
'motorbike': 0.6698113207547169,
'airplane': 0.09433962264150944,
'asparagus': 0.3333333333333333,
'cloud': 0.017985611510791366,
'suitcase': 0.4385026737967914,
'sailboat': 0.2608695652173913,
'snowman': 0.14761376248612654,
'bandage': 0.03553299492385787,
'beard': 0.8766756032171582,
'moon': 0.0030864197530864196,
'hurricane': 0.022556390977443608,
'peas': 0.07777777777777778,
'skateboard': 0.08552631578947369,
'axe': 0.2420091324200913,
'elbow': 0.09278350515463918,
'campfire': 0.5576036866359447,
'grapes': 0.34276729559748426,
'skyscraper': 0.2569832402234637,
'tornado': 0.30294906166219837,
'tooth': 0.21100917431192662,
'finger': 0.10526315789473684,

Overall:0.2487
