'giraffe': 0.1935483870967742,
'parrot': 0.2819548872180451,
'dolphin': 0.8470588235294118,
'hamburger': 0.3567567567567568,
'lightning': 0.0,
'peanut': 0.05384615384615385,
'watermelon': 0.0078125,
'helicopter': 0.08,
'boomerang': 0.0,
'scissors': 0.2791762013729977,
'octopus': 0.06040268456375839,
'onion': 0.0,
'bracelet': 0.3233333333333333,
'blueberry': 0.2868217054263566,
'cake': 0.4935064935064935,
'rainbow': 0.021739130434782608,
'donut': 0.0,
'marker': 0.25833333333333336,
'bread': 0.043478260869565216,
'windmill': 0.053061224489795916,
'megaphone': 0.14285714285714285,
'ladder': 0.18032786885245902,
'rollerskates': 0.014184397163120567,
'sweater': 0.3413173652694611,
'motorbike': 0.7703349282296651,
'airplane': 0.1148036253776435,
'asparagus': 0.4880382775119617,
'cloud': 0.09,
'suitcase': 0.47896440129449835,
'sailboat': 0.2853185595567867,
'snowman': 0.08146067415730338,
'bandage': 0.08928571428571429,
'beard': 0.9251559251559252,
'moon': 0.11612903225806452,
'hurricane': 0.0,
'peas': 0.0,
'skateboard': 0.050119331742243436,
'axe': 0.4977168949771689,
'elbow': 0.3935483870967742,
'campfire': 0.10465116279069768,
'grapes': 0.20905923344947736,
'skyscraper': 0.22103004291845493,
'tornado': 0.15165876777251186,
'tooth': 0.049723756906077346,
'finger': 0.43462897526501765,

Overall:0.2194
